id,upstream_method_id,downstream_method_id,upstream_workflow_id,downstream_workflow_id,upstream_occurrence_id,downstream_occurrence_id,declarations,reciprocity_state,handoff_labels,handoff_anchor_iris,predicate,publication_status,review_rationale
manual-dependency-0030-3b538fae90,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,CIEMAT-Exp-NANOINDENTATION_layer,blade-coating-and-decal-transfer-for-ref-pefc-ccm,mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation::n9,input_method,ungrounded_one_sided,,,http://www.w3.org/ns/prov#wasInformedBy,audit_only,One-sided declaration lacks an exact reviewed handoff and is retained for audit only.
manual-dependency-0031-e2480bd9c4,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,CIEMAT-Exp-sem-fib-layer,blade-coating-and-decal-transfer-for-ref-pefc-ccm,sem-and-fib-layer,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,sem-and-fib-layer::n8,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0032-333f0dd87c,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,FZJ-IET-4-Exp-sheet-resistance-measurement,blade-coating-and-decal-transfer-for-ref-pefc-ccm,sheet-resistance-measurement,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,sheet-resistance-measurement::n7,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0033-bb32c9ad36,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,HZB-Exp-fib-gdl-mpl-catalyst,blade-coating-and-decal-transfer-for-ref-pefc-ccm,fib-measurements-on-gdl-or-mpl-and-catalyst-materials,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,fib-measurements-on-gdl-or-mpl-and-catalyst-materials::n10,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0034-0c92b09fa8,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,NEL-Exp-large-scale-durability-test,blade-coating-and-decal-transfer-for-ref-pefc-ccm,manual-nel-exp-large-scale-durability-test,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,manual-nel-exp-large-scale-durability-test::method,input_method,grounded_one_sided,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_pending_review,One record declares the dependency and an exact reviewed handoff grounds a pending-review link.
manual-dependency-0035-b525aed8c2,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,PSI-Exp-cl-saturation-determination-saxs-sans,blade-coating-and-decal-transfer-for-ref-pefc-ccm,determination-of-cl-saturation-by-saxs-or-sans,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,determination-of-cl-saturation-by-saxs-or-sans::n24,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0036-535a0e219e,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,PSI-Exp-development-zero-gap-cell-gde-based-spectroscopy,blade-coating-and-decal-transfer-for-ref-pefc-ccm,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,development-of-a-zero-gap-cell-for-gde-based-spectrocopy-measurement::n15,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0037-4f620cd13e,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,PSI-Exp-mpl-saturation-determination-x-ray-ct,blade-coating-and-decal-transfer-for-ref-pefc-ccm,mpl-saturation-determination-from-x-ray-ct-data,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,mpl-saturation-determination-from-x-ray-ct-data::n19,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0038-322500cf2e,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,PSI-Exp-pulsed-gas-analysis,blade-coating-and-decal-transfer-for-ref-pefc-ccm,pulsed-gas-analysis,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,pulsed-gas-analysis::n6,input_method; output_method,confirmed_reciprocal,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_confirmed,Both method records declare the dependency and exact reviewed input/output handoff labels are shared.
manual-dependency-0039-68721ee0e6,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation,blade-coating-and-decal-transfer-for-ref-pefc-ccm,mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation::n9,output_method,ungrounded_one_sided,,,http://www.w3.org/ns/prov#wasInformedBy,audit_only,One-sided declaration lacks an exact reviewed handoff and is retained for audit only.
manual-dependency-0040-197d31a891,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,neutron-imaging,blade-coating-and-decal-transfer-for-ref-pefc-ccm,neutron-imaging,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,neutron-imaging::n10,output_method,grounded_one_sided,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_pending_review,One record declares the dependency and an exact reviewed handoff grounds a pending-review link.
manual-dependency-0041-88df97b740,CEA-Exp-blade-coating-decal-transfer-ref-pefc-ccm,rotating-ring-disk-electrode-rrde,blade-coating-and-decal-transfer-for-ref-pefc-ccm,rotating-ring-disk-electrode-rrde,blade-coating-and-decal-transfer-for-ref-pefc-ccm::n4,rotating-ring-disk-electrode-rrde::n11,output_method,grounded_one_sided,CCM,https://w3id.org/h2kg/hydrogen-ontology#CatalystCoatedMembrane,http://www.w3.org/ns/prov#wasInformedBy,published_pending_review,One record declares the dependency and an exact reviewed handoff grounds a pending-review link.
